Post Code,City Name,State,Deliverya,Deliveryb,Satchel,Local,Price,p1,p2,p3,p4,p5
0008,ATTERIDGEVILLE UIT 2,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0008,ATTERIDGEVILLE UIT 3,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0008,ATTERIDGEVILLE UIT 4,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0008,ATTERIDGEVILLE UIT 6,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0008,ATTERIDGEVILLE UIT 7,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0008,ATTERIDGEVILLE WEST EXT 6,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0008,ATTERIDGEVILLE-WES UIT 6,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0008,CONCERN,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0008,KALAFONG HEIGHTS,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0008,KALAFONG HOOGTE,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0008,LOTUS GARDEN,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0008,LOTUS GARDENS,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0008,LOTUS GARDENS EXT 2,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0008,LOTUS GARDENS EXT 3,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0008,LOTUS TUIN,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0008,LOTUS TUINE,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0008,LOTUS TUINE UIT 2,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0008,LOTUS TUINE UIT 3,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0008,MOFOKENG,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0008,PHOMOLONG,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0008,SAULSVILLE EXT 3,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0008,SAULSVILLE UIT 3,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0009,BON ACCORD,Gauteng,PRY,1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0012,TELKOM PLACE,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0014,SIMARLO,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0016,COR DELFOS,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0017,DOORNPARK,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0020,PERSEQUOR PARK,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0022,EERSTERUS,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0022,EERSTERUS EXT 4,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0022,EERSTERUS EXT 5,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0022,EERSTERUS EXT 6,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0022,EERSTERUS UIT 4,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
0022,EERSTERUS UIT 5,Gauteng,PRY,1,2 to 1,A3 Red,A5 Blue,A4 Blue,A3 Blue,A2 Blue,R32
